"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"HDDL","Haddock | large","","10665","1.76","2.04","2.62","10","2020"
"HDDP","Haddock | snapper","","323","0","0.9","0.93","10","2020"
"HDDS","Haddock | scrod","","16755","0","1.72","2.57","10","2020"
"CADM","Cod | market","","2440","0","3.1","4.01","11","2020"
"CADS","Cod | scrod","","12","0","1.81","2","11","2020"
"HDDL","Haddock | large","","11813","0","1.97","2.72","11","2020"
"HDDP","Haddock | snapper","","163","0","1","1.28","11","2020"
"HDDS","Haddock | scrod","","14946","0","1.76","2.37","11","2020"
"CADM","Cod | market","","1502","2.01","2.6","4.97","12","2020"
"CADS","Cod | scrod","","6","1.49","1.53","1.56","12","2020"
"HDDL","Haddock | large","","1824","1.47","2.11","2.52","12","2020"
"HDDP","Haddock | snapper","","295","0.53","0.8","0.99","12","2020"
"HDDS","Haddock | scrod","","11402","1.07","1.57","2.33","12","2020"
"CADM","Cod | market","4109","4109","1.73","2.57","3.92","1","2019"
"CADS","Cod | scrod","24","19","0","1.39","1.39","1","2019"
"HDDL","Haddock | large","6674","6374","1.81","2.31","4.27","1","2019"
"HDDP","Haddock | snapper","3793","3716","0","0.68","0.87","1","2019"
"HDDS","Haddock | scrod","28958","26743","0.81","1.18","2.28","1","2019"
"CADM","Cod | market","4542","1986","0","2.41","2.75","2","2019"
"CADS","Cod | scrod","131","120","0","1.62","1.62","2","2019"
"HDDL","Haddock | large","7882","7282","1.56","1.95","3.42","2","2019"
"HDDP","Haddock | snapper","1113","512","0","0.77","1.01","2","2019"
"HDDS","Haddock | scrod","33794","23917","0","1.03","1.71","2","2019"
"CADM","Cod | market","3811","3182","0","2.55","3.09","3","2019"
"CADS","Cod | scrod","21","0","0","0","0","3","2019"
"HDDL","Haddock | large","2205","2205","1.64","2.4","3","3","2019"
"HDDP","Haddock | snapper","433","419","0","1.15","1.51","3","2019"
"HDDS","Haddock | scrod","6697","6697","1.46","2.09","2.65","3","2019"
"CADM","Cod | market","4624","4420","0","2.94","3.76","4","2019"
"CADS","Cod | scrod","23","7","0","2.48","2.48","4","2019"
"HDDL","Haddock | large","1676","1676","1.9","3.11","4.47","4","2019"
"HDDP","Haddock | snapper","351","254","0","0.84","1.17","4","2019"
"HDDS","Haddock | scrod","5760","5717","1.42","1.95","2.32","4","2019"
"CADM","Cod | market","2232","391","0","2.78","3.09","5","2019"
"CADS","Cod | scrod","14","0","0","0","0","5","2019"
"HDDL","Haddock | large","1839","1827","0","2.65","3.67","5","2019"
